scorer,Anna Hanlon,Anna Hanlon,Anna Hanlon,Anna Hanlon,Anna Hanlon,Anna Hanlon
bodyparts,nose,nose,body,body,tail,tail
coords,x,y,x,y,x,y
labeled-data\Sample_Videoshort10\img004.png,111.35888298546854,1315.6999966894384,144.84425354003906,1288.44384765625,161.50395195950784,1252.9488317763237
labeled-data\Sample_Videoshort10\img004.png,111.35888298546854,1315.6999966894384,144.84425354003906,1288.44384765625,161.50395195950784,1252.9488317763237
labeled-data\Sample_Videoshort10\img007.png,106.26183319091797,1319.794921875,144.74742126464844,1288.522705078125,160.50373478801646,1250.40164891111
labeled-data\Sample_Videoshort10\img007.png,106.26183319091797,1319.794921875,144.74742126464844,1288.522705078125,160.50373478801646,1250.40164891111
labeled-data\Sample_Videoshort10\img030.png,109.98710445897069,1318.677902868268,136.2518310546875,1298.308837890625,159.57699584960938,1267.45654296875
labeled-data\Sample_Videoshort10\img030.png,109.98710445897069,1318.677902868268,136.2518310546875,1298.308837890625,159.57699584960938,1267.45654296875
labeled-data\Sample_Videoshort10\img071.png,107.23627181470698,1324.9449446502276,142.69221390097118,1287.1252730915458,160.42018494410326,1258.16958705443
labeled-data\Sample_Videoshort10\img071.png,107.23627181470698,1324.9449446502276,142.69221390097118,1287.1252730915458,160.42018494410326,1258.16958705443
labeled-data\Sample_Videoshort10\img085.png,110.22867206039115,1322.072198665511,144.775634765625,1288.3709716796875,160.15077209472656,1264.6536865234375
labeled-data\Sample_Videoshort10\img085.png,110.22867206039115,1322.072198665511,144.775634765625,1288.3709716796875,160.15077209472656,1264.6536865234375
labeled-data\Sample_Videoshort10\img091.png,111.49956490819261,1322.5848563827706,135.9633331298828,1297.789794921875,157.55076599121094,1265.9014892578125
labeled-data\Sample_Videoshort10\img091.png,111.49956490819261,1322.5848563827706,135.9633331298828,1297.789794921875,157.55076599121094,1265.9014892578125
labeled-data\Sample_Videoshort10\img120.png,152.36965380454274,1317.3296401311995,135.6913299560547,1288.0069580078125,155.34625244140625,1268.65869140625
labeled-data\Sample_Videoshort10\img120.png,152.36965380454274,1317.3296401311995,135.6913299560547,1288.0069580078125,155.34625244140625,1268.65869140625
labeled-data\Sample_Videoshort10\img141.png,172.03946098163198,1337.614614878693,126.7374496459961,1292.5955810546875,154.42884653980724,1261.7504355450617
labeled-data\Sample_Videoshort10\img141.png,172.03946098163198,1337.614614878693,126.7374496459961,1292.5955810546875,154.42884653980724,1261.7504355450617
labeled-data\Sample_Videoshort10\img170.png,179.98105111183793,1325.6575838838746,133.72354125976562,1290.427490234375,137.72189388164225,1245.1160777924285
labeled-data\Sample_Videoshort10\img170.png,179.98105111183793,1325.6575838838746,133.72354125976562,1290.427490234375,137.72189388164225,1245.1160777924285
labeled-data\Sample_Videoshort10\img185.png,177.91842445271737,1250.1968496369766,174.8831024169922,1271.9776611328125,87.41210174560547,1309.8101806640625
labeled-data\Sample_Videoshort10\img185.png,177.91842445271737,1250.1968496369766,174.8831024169922,1271.9776611328125,87.41210174560547,1309.8101806640625
labeled-data\Sample_Videoshort10\img190.png,179.22385703745795,1261.8759148671807,146.8837401648351,1294.9681274810273,87.46817660815606,1317.530999717741
labeled-data\Sample_Videoshort10\img190.png,179.22385703745795,1261.8759148671807,146.8837401648351,1294.9681274810273,87.46817660815606,1317.530999717741
labeled-data\Sample_Videoshort10\img200.png,140.26817715163287,1247.6084572935877,155.9623565673828,1264.434326171875,89.39076440342797,1321.2160406159483
labeled-data\Sample_Videoshort10\img200.png,140.26817715163287,1247.6084572935877,155.9623565673828,1264.434326171875,89.39076440342797,1321.2160406159483
labeled-data\Sample_Videoshort10\img212.png,157.79938835263908,1155.9629642579314,166.0245819091797,1180.556396484375,126.51271733415433,1311.74151474878
labeled-data\Sample_Videoshort10\img212.png,157.79938835263908,1155.9629642579314,166.0245819091797,1180.556396484375,126.51271733415433,1311.74151474878
labeled-data\Sample_Videoshort10\img223.png,172.8295994868758,1120.6237757268468,162.9095001220703,1216.46240234375,132.86448669433594,1262.4144287109375
labeled-data\Sample_Videoshort10\img223.png,172.8295994868758,1120.6237757268468,162.9095001220703,1216.46240234375,132.86448669433594,1262.4144287109375
labeled-data\Sample_Videoshort10\img236.png,167.76275634765625,1052.085205078125,170.21497569549848,1104.3499674947918,147.34976196289062,1194.044189453125
labeled-data\Sample_Videoshort10\img236.png,167.76275634765625,1052.085205078125,170.21497569549848,1104.3499674947918,147.34976196289062,1194.044189453125
labeled-data\Sample_Videoshort10\img245.png,190.98022281400404,1065.986562299516,184.36178029123477,1123.8979343737476,161.19723146154212,1200.8373287009408
labeled-data\Sample_Videoshort10\img245.png,190.98022281400404,1065.986562299516,184.36178029123477,1123.8979343737476,161.19723146154212,1200.8373287009408
labeled-data\Sample_Videoshort10\img246.png,189.63284799166456,1064.5534049655344,171.39100646972656,1149.9996337890625,161.21721383639124,1201.998262610256
labeled-data\Sample_Videoshort10\img246.png,189.63284799166456,1064.5534049655344,171.39100646972656,1149.9996337890625,161.21721383639124,1201.998262610256
labeled-data\Sample_Videoshort10\img253.png,174.39218209405425,1065.383451915502,184.226658218654,1126.895664527311,165.34483337402344,1194.91259765625
labeled-data\Sample_Videoshort10\img253.png,174.39218209405425,1065.383451915502,184.226658218654,1126.895664527311,165.34483337402344,1194.91259765625
labeled-data\Sample_Videoshort10\img262.png,204.3513883529008,1076.095358845736,195.0403289794922,1110.8819580078125,162.95378579334692,1188.1384349755635
labeled-data\Sample_Videoshort10\img262.png,204.3513883529008,1076.095358845736,195.0403289794922,1110.8819580078125,162.95378579334692,1188.1384349755635
labeled-data\Sample_Videoshort10\img270.png,201.32358970723396,1066.4171068561616,170.63735961914062,1149.6126708984375,165.18519592285156,1194.7841796875
labeled-data\Sample_Videoshort10\img270.png,201.32358970723396,1066.4171068561616,170.63735961914062,1149.6126708984375,165.18519592285156,1194.7841796875
labeled-data\Sample_Videoshort10\img316.png,244.24606302348332,1026.6783343967331,195.19239807128906,1077.3585205078125,181.73130798339844,1120.1231689453125
labeled-data\Sample_Videoshort10\img316.png,244.24606302348332,1026.6783343967331,195.19239807128906,1077.3585205078125,181.73130798339844,1120.1231689453125
labeled-data\Sample_Videoshort10\img331.png,,,209.0975887410986,1072.36035882189,153.78631908652648,1137.2447328397534
labeled-data\Sample_Videoshort10\img331.png,,,209.0975887410986,1072.36035882189,153.78631908652648,1137.2447328397534
labeled-data\Sample_Videoshort10\img339.png,246.85595703125,1032.159423828125,224.6021270751953,1049.3763427734375,152.9465789794922,1127.7490234375
labeled-data\Sample_Videoshort10\img339.png,246.85595703125,1032.159423828125,224.6021270751953,1049.3763427734375,152.9465789794922,1127.7490234375
labeled-data\Sample_Videoshort10\img348.png,216.26682011951783,1014.3492052169732,223.46304321289062,1034.712158203125,161.1491423567134,1127.9215001031416
labeled-data\Sample_Videoshort10\img348.png,216.26682011951783,1014.3492052169732,223.46304321289062,1034.712158203125,161.1491423567134,1127.9215001031416
labeled-data\Sample_Videoshort10\img358.png,222.20795147925446,1018.4059473080617,222.7962188720703,1040.878173828125,165.29232788085938,1127.01220703125
labeled-data\Sample_Videoshort10\img358.png,222.20795147925446,1018.4059473080617,222.7962188720703,1040.878173828125,165.29232788085938,1127.01220703125
labeled-data\Sample_Videoshort10\img367.png,232.61172485351562,1015.6189575195312,222.81614685058594,1039.7188720703125,157.19934331390533,1133.7882765680304
labeled-data\Sample_Videoshort10\img367.png,232.61172485351562,1015.6189575195312,222.81614685058594,1039.7188720703125,157.19934331390533,1133.7882765680304
labeled-data\Sample_Videoshort10\img372.png,203.8660125732422,972.7889404296875,210.89541625976562,993.4490356445312,183.82658591545686,1108.087986586295
labeled-data\Sample_Videoshort10\img372.png,203.8660125732422,972.7889404296875,210.89541625976562,993.4490356445312,183.82658591545686,1108.087986586295
labeled-data\Sample_Videoshort10\img375.png,187.80715942382812,942.8319702148438,211.31626172233103,1006.8026514555302,210.07793325708644,1084.6294187035546
